time,system_demand,demand_7da,temp
2023-01-14 11:00:00,24286.0,23331.55,53.83
2023-01-14 12:00:00,24400.0,23232.19,53.02
2023-01-14 13:00:00,24773.0,23113.96,51.78
2023-01-14 14:00:00,24901.0,22961.22,51.48
2023-01-14 15:00:00,25169.0,23210.76,51.82
2023-01-14 16:00:00,25703.0,24012.63,52.41
2023-01-14 17:00:00,26548.0,25865.93,52.9
2023-01-14 18:00:00,26209.0,26082.45,53.56
2023-01-14 19:00:00,25916.0,25464.42,54.43
2023-01-14 20:00:00,25188.0,24670.06,55.02
2023-01-14 21:00:00,24288.0,24011.42,55.6
2023-01-14 22:00:00,23193.0,22965.34,55.83
2023-01-14 23:00:00,21966.0,21889.04,55.36
2023-01-15 00:00:00,21053.0,21175.27,54.46
2023-01-15 01:00:00,20584.0,20379.86,53.89
2023-01-15 02:00:00,20273.0,19840.09,53.91
2023-01-15 03:00:00,19914.0,19378.06,53.73
2023-01-15 04:00:00,20098.0,19359.33,52.81
2023-01-15 05:00:00,20543.0,19717.32,51.89
2023-01-15 06:00:00,21178.0,20627.35,51.6
2023-01-15 07:00:00,21502.0,21303.71,51.48
2023-01-15 08:00:00,22237.0,21412.21,52.16
2023-01-15 09:00:00,22722.0,21301.17,53.89
2023-01-15 10:00:00,22947.0,21072.5,55.54
2023-01-15 11:00:00,22815.0,20908.64,57.31
2023-01-15 12:00:00,22860.0,20989.25,58.37
2023-01-15 13:00:00,23242.0,21141.84,58.26
2023-01-15 14:00:00,23948.0,21405.63,57.76
2023-01-15 15:00:00,24571.0,22336.91,57.13
2023-01-15 16:00:00,25355.0,23758.46,56.32
2023-01-15 17:00:00,26459.0,25986.81,54.99
2023-01-15 18:00:00,26454.0,26450.16,53.49
2023-01-15 19:00:00,25984.0,25915.5,52.18
2023-01-15 20:00:00,25303.0,25155.15,51.55
2023-01-15 21:00:00,24559.0,24304.35,51.44
2023-01-15 22:00:00,23305.0,23070.29,51.15
2023-01-15 23:00:00,22086.0,21846.23,50.22
2023-01-16 00:00:00,21648.0,20737.02,49.98
2023-01-16 01:00:00,21047.0,20116.13,49.91
2023-01-16 02:00:00,20828.0,19697.44,50.32
2023-01-16 03:00:00,20683.0,19637.88,50.94
2023-01-16 04:00:00,21053.0,20086.82,51.76
2023-01-16 05:00:00,22280.0,21171.4,52.03
2023-01-16 06:00:00,23668.0,22991.38,52.2
2023-01-16 07:00:00,24488.0,24163.5,53.02
2023-01-16 08:00:00,25111.0,24947.28,53.94
2023-01-16 09:00:00,25531.0,25396.5,54.66
2023-01-16 10:00:00,24928.0,25420.58,55.6
2023-01-16 11:00:00,24539.0,25258.08,56.43
2023-01-16 12:00:00,24556.0,25180.86,57.7
2023-01-16 13:00:00,24360.0,25148.74,58.37
2023-01-16 14:00:00,24497.0,25086.92,58.46
2023-01-16 15:00:00,25150.0,25459.1,58.05
2023-01-16 16:00:00,26498.0,26260.04,57.16
2023-01-16 17:00:00,28366.0,28163.99,55.42
2023-01-16 18:00:00,28322.0,28399.4,53.73
2023-01-16 19:00:00,27743.0,27664.04,52.86
2023-01-16 20:00:00,27062.0,26751.69,52.03
2023-01-16 21:00:00,25991.0,25614.86,51.39
2023-01-16 22:00:00,24430.0,24015.9,50.9
2023-01-16 23:00:00,22982.0,22554.86,49.95
2023-01-17 00:00:00,22397.0,21407.96,48.72
2023-01-17 01:00:00,21901.0,20699.7,48.34
2023-01-17 02:00:00,21692.0,20280.66,47.41
2023-01-17 03:00:00,21735.0,20201.76,46.22
2023-01-17 04:00:00,22056.0,20739.74,45.82
2023-01-17 05:00:00,23663.0,22113.21,46.08
2023-01-17 06:00:00,26051.0,24446.75,45.57
2023-01-17 07:00:00,27363.0,25654.93,45.18
2023-01-17 08:00:00,27096.0,25401.63,46.38
2023-01-17 09:00:00,26041.0,24871.98,50.97
2023-01-17 10:00:00,25089.0,24256.72,53.83
2023-01-17 11:00:00,24192.0,23864.54,56.14
2023-01-17 12:00:00,23292.0,23695.59,57.43
2023-01-17 13:00:00,22740.0,23716.98,58.35
2023-01-17 14:00:00,22546.0,23882.26,58.78
2023-01-17 15:00:00,23719.0,24661.17,58.98
2023-01-17 16:00:00,25955.0,26046.83,58.3
2023-01-17 17:00:00,28175.0,27977.52,55.99
2023-01-17 18:00:00,28599.0,28315.92,53.94
2023-01-17 19:00:00,28197.0,27687.39,52.61
2023-01-17 20:00:00,27549.0,26794.0,51.58
2023-01-17 21:00:00,26685.0,25759.3,50.61
2023-01-17 22:00:00,25391.0,24283.8,49.64
2023-01-17 23:00:00,24062.0,22812.84,48.52
2023-01-18 00:00:00,23445.0,22063.69,47.43
2023-01-18 01:00:00,22885.0,21375.02,47.32
2023-01-18 02:00:00,22635.0,20937.0,46.8
2023-01-18 03:00:00,22364.0,20854.8,45.55
2023-01-18 04:00:00,22864.0,21407.66,45.48
2023-01-18 05:00:00,24471.0,22760.56,45.34
2023-01-18 06:00:00,26778.0,25088.13,45.41
2023-01-18 07:00:00,27743.0,25891.72,45.27
2023-01-18 08:00:00,27008.0,25596.37,46.94
2023-01-18 09:00:00,25561.0,25000.46,50.23
2023-01-18 10:00:00,24523.0,24506.83,54.48
2023-01-18 11:00:00,23636.0,24116.33,57.31
2023-01-18 12:00:00,23198.0,23911.25,59.05
2023-01-18 13:00:00,22867.0,23965.06,59.76
2023-01-18 14:00:00,23087.0,24170.26,60.64
2023-01-18 15:00:00,24303.0,24803.9,60.37
2023-01-18 16:00:00,26351.0,26074.23,59.27
2023-01-18 17:00:00,28192.0,28158.94,56.46
2023-01-18 18:00:00,28487.0,28590.88,54.01
2023-01-18 19:00:00,28042.0,27975.03,52.11
2023-01-18 20:00:00,27440.0,27114.53,50.99
2023-01-18 21:00:00,26404.0,26071.59,50.02
2023-01-18 22:00:00,24804.0,24523.54,48.97
2023-01-18 23:00:00,23598.0,23149.89,48.83
2023-01-19 00:00:00,23067.0,22502.39,48.54
2023-01-19 01:00:00,22458.0,21758.21,47.75
2023-01-19 02:00:00,22436.0,21269.44,47.79
2023-01-19 03:00:00,22560.0,20931.71,47.66
2023-01-19 04:00:00,23067.0,21360.58,47.25
2023-01-19 05:00:00,24678.0,22553.4,46.89
2023-01-19 06:00:00,26674.0,24826.14,46.13
2023-01-19 07:00:00,27588.0,26120.45,46.31
2023-01-19 08:00:00,26908.0,25803.72,47.79
2023-01-19 09:00:00,26126.0,24780.17,50.79
2023-01-19 10:00:00,25206.0,23788.47,54.19
2023-01-19 11:00:00,24241.0,23087.14,57.27
2023-01-19 12:00:00,23606.0,22777.0,58.12
2023-01-19 13:00:00,23201.0,22835.43,58.3
2023-01-19 14:00:00,23460.0,23272.33,57.51
2023-01-19 15:00:00,24883.0,24329.19,56.57
2023-01-19 16:00:00,26811.0,26184.87,55.47
2023-01-19 17:00:00,28593.0,28505.14,54.07
2023-01-19 18:00:00,28913.0,28984.74,52.92
2023-01-19 19:00:00,28314.0,28445.78,52.38
2023-01-19 20:00:00,27584.0,27593.47,51.8
2023-01-19 21:00:00,26652.0,26605.13,50.72
